Player,Pos,Team,G,MP,PTS,TRB,AST,WS,BPM,Salary,Value_per_Million
DeMar DeRozan,SF,CHI,79.0,2989.0,22.8,4.1,5.1,7.1,-0.1,23400000.0,0.3034188034188034
Domantas Sabonis,C,SAC,82.0,2928.0,19.6,13.8,8.3,10.1,5.2,40500000.0,0.2493827160493827
Coby White,PG,CHI,79.0,2881.0,18.9,4.5,5.1,4.5,-0.9,12000000.0,0.375
Mikal Bridges,SF,BRK,82.0,2854.0,20.3,4.7,3.8,5.7,-0.5,23300000.0,0.2446351931330472
Paolo Banchero,PF,ORL,80.0,2799.0,23.2,7.1,5.5,3.5,3.5,12160800.0,0.2878100124991777
Kevin Durant,PF,PHO,75.0,2791.0,26.2,6.4,4.9,5.2,3.2,51179021.0,0.10160413189615332
Dejounte Murray,SG,ATL,78.0,2783.0,22.7,5.4,6.5,0.2,-1.6,29517135.0,0.006775725354103642
Anthony Edwards,SG,MIN,79.0,2770.0,26.6,5.6,5.3,8.4,4.3,42176400.0,0.19916351324437365
Nikola Jokić,C,DEN,79.0,2737.0,27.4,12.8,9.3,16.4,13.3,51415938.0,0.31896724319217906
Jalen Brunson,PG,NYK,77.0,2726.0,29.2,3.7,6.9,8.3,3.3,24960001.0,0.3325320379594537
Josh Hart,SF,NYK,81.0,2707.0,10.1,9.0,4.4,9.2,2.8,18144000.0,0.5070546737213404
Anthony Davis,C,LAL,76.0,2700.0,25.0,12.8,3.5,6.7,5.4,43219440.0,0.15502283231804947
Anthony Davis,C,LAL,76.0,2700.0,25.0,12.8,3.5,6.2,6.0,43219440.0,0.14345396423461296
Anthony Davis,C,LAL,76.0,2700.0,25.0,12.8,3.5,0.5,2.5,43219440.0,0.011568868083436528
Fred VanVleet,PG,HOU,73.0,2684.0,17.0,3.7,7.9,5.2,0.9,42846615.0,0.12136314619019496
De'Aaron Fox,PG,SAC,74.0,2659.0,26.6,4.6,5.7,4.3,0.4,34848340.0,0.12339181722859682
De'Aaron Fox,PG,SAC,74.0,2659.0,26.6,4.6,5.7,3.5,1.2,34848340.0,0.10043520006978812
De'Aaron Fox,PG,SAC,74.0,2659.0,26.6,4.6,5.7,0.9,-2.0,34848340.0,0.025826194303659802
Pascal Siakam,PF,2TM,80.0,2657.0,23.5,7.7,4.6,7.5,1.7,42176400.0,0.17782456539676217
Pascal Siakam,PF,TOR,39.0,1354.0,23.0,6.5,5.1,7.5,1.7,42176400.0,0.17782456539676217
Pascal Siakam,PF,IND,41.0,1303.0,24.1,8.8,4.2,7.5,1.7,42176400.0,0.17782456539676217
Jayson Tatum,PF,BOS,74.0,2645.0,27.0,8.2,5.0,9.5,5.2,34848340.0,0.27260982876085343
